"Timestamp","How was your overall experience during the event?","Did you feel that the teams were fair and balanced?","How do you feel about the current event format using the Discord bot? What did you like, what felt confusing or clunky, and what would you improve for future events?","Was there anything, positive or negative about the event in general, that you'd like to share with us?","Was there a specific moment during the event that stood out as particularly fun or memorable?","Did you feel welcomed and included throughout the event?","Any additional comments or feedback?","How likely are you to participate in another clan event in the future?","Would you like a staff member to reach out to you about your concerns?","Optional:  If you answered yes to the previous question, please share your RSN here or DM a Leader on Discord."
"2025/07/07 8:48:27 AM MDT","4","5","I like that the bot can respond to the event even when event coordinators are not present. I fell like it worked well. The only thing I would change is the ability to use stored drops + 10 minute timer fiasco.","There were seemingly too many Wilderness tiles, although that probably came down to the specific tiles we chose. Also, I did not spoon a pet this event","Team 1 going ridiculously dry for a single Sarachnis unique lol","5","I really enjoyed the mini-events!","5","No",""
"2025/07/07 8:49:10 AM MDT","5","5","I think the bot was a great addition. Nothing was confusing or clunky as the commands were explained and everything had its own subthread. I really enjoyed this event","You all did amazingly, genuinely. Thank you so much for hosting I had the most amazing time!","The ending! Racing to the last tiles, it was neck and neck! ","5","Thank you for all your hard work and for helping me get back into the game 🥰","5","No","Nintendoll"
"2025/07/07 8:49:53 AM MDT","5","5","The bot is great, it’s great being able to continue with tasks without meeting ref input","Bot is well put together and works well. Being able to store certain tasks was great for those not able to do current tasks - made it feel like we could all work progress.","","5","Thank you ref’s, for all your hard work and input to running this event! And for creating the bot!","5","No",""
"2025/07/07 8:50:43 AM MDT","3","3","I liked it","None","","3","","4","No",""
"2025/07/07 8:53:31 AM MDT","5","5","Was amazing. Even with the small mistake from the outage it was fine- can’t blame that. ","I understand “why” Inferno and Collo were added. I think for the style of PVM events this type was targeting that content is a bit too zealous. It’s just too big of a moment swing. If that tile is rolled while 70% of the team is US based and at work it can basically kill any movement the teams had. ","It was just fun. ","5","","5","No",""
"2025/07/07 8:54:20 AM MDT","4","4","Great bot honestly, super fun to see and a lot less time for refs to keep eyes on things","Contributions from people. I understand people have irl things that come up but at least have them write it in team chat. I dont expect everyone to have 30+ EHB but anything less than 5 seems like ""why did you even sign up""","No pet :pepehands: BA and Huey rally were good team 2 times. Aggressive getting the b3b purples","4","Consider Wetty as 2 people when balancing EHB ty.","5","No",""
"2025/07/07 9:06:11 AM MDT","5","5","I had too much power and never had an opportunity to even use the bot wtf :(","I've mentioned this somewhere but having something in place to allow a wider variety of content to be done. We were mostly lopping between the same types of bosses (higher level players). Lower levels had a nicer variety as they could work on stored tasks during the harder tiles","WAKING UP AT 1AM TO CLUTCH THE WIN BABY (im never doing that again)","5","I prefer the banter chats to be open to spectators vs closed to only participants. explicitly only for spectating whilst participants are the only ones who can talk in the channel","5","","Kiuyu"
"2025/07/07 9:44:14 AM MDT","4","5","I felt the bot worked wonderfully (minus the one break) only issue was just clarifying what was required for the tile.","I feel like the initial pitch for the event hinted that raids would be the highest level of content to be expected, so I was not prepared for an inferno or colosseum. I know there were the stored drops we could in the mean time but that largely felt meaningless (which I understand is partly by design). But overall I think we used maybe 2 stored drops out of all of the ones we had. I know a lot of my other team member also prioritized the stored drops as well which added to my frustration of struggling to contribute in a meaningful way. Just for context sake, I was on team 2","The early couple of days where we had tiles I was able to assist with","4","The rest of my frustration of the event really is just time zones as everyone would be active while I was at work and then off once I was off work everyone had already retired for the evening. I also  know that partly this is my own social anxiety for not asking for people once I was able to play. So really, overall a great event, I did enjoy trying to get drops and seeing how the teams raced for tiles.","4","No",""
"2025/07/07 10:16:49 AM MDT","5","5","The bot is singlehandedly the best upgrade for these events, makes them much more smoother! ","Positive: I liked the flexibility for drops required on some tiles compared to the prior event, not too task hunting requirements either.

Negative : Repeating tiles with the same drop requirement, I loved the mixed in ""get X kc as a team"" of certain bosses of the bomb event. 
I'm not a fan of tiles with really hard challenging content like Inferno, it makes the team relly to much on a very specific few individuals whilst the rest are mostly benched and unable to get moving and it puts all the pressure on they key member(s) that can clear the content or the team gets soft locked. I think giving an alternative like the team needs to get 10 fire capes with a maximum of 2 per players or something would be a good point of interest to look at. I also think the Collo unique was a great addition as that doesn't require a full on clear, so maybe similarly for inferno it could be have 5 players reach wave X, encourage learning like the Collo tile for uniques","When we were 4 manning and massing nex for a day and a half, finally managed to clear it and rolled into a Huey tile, then suddenly we got like 10 more people to jump in and come clear the tile! ","5","I think it could be fun to switch up the tiles or clearing requirements! I thought the cannonballs and plank drops challenge was super unique and a great idea, I would love to see more of that and find a way to incorporate it in normal tiles, so we don't end up always going for purples or similar content. 

Use more of the gain X kc :3 where was the moleeee?! 

I very much so love these pvm events driven by strategy and time, but I hope we soon enough get events with a different rule set. In essence, these last few events (albeit fantastic!) were all about focusing on 1 tile at a time and some banked loot on the plus side of maybe it will be useful (strategy), I kind of miss a good old race event with multiple options, like the Hexes last wear where we had the strategy to decide where to go and form our areas, but all the whilst having different options directly impacting the game instead on relying on store drops that can suddenly turn the tables around if you hit 5 stored tiles in a row.

Love y'all and appreciate everything, reminder that those are simply MY thoughts ☺️","5","Yes","Oshdale"
"2025/07/07 10:42:00 AM MDT","5","5","Think it was excellently done, although the bot channel was a little laggy","Being able to store drops was great as everyone could be contributing in some way even if unable to work on the current tile","","5","","5","No",""
