"Timestamp","How was your overall experience during the event?","Did you feel that the teams were fair and balanced?","What do you feel would have been better for team sizes?","How do you feel about the current event format using the Discord bot? What did you like, what felt confusing or clunky, and what would you improve for future events?","Was there anything, positive or negative about the event in general, that you'd like to share with us?","Was there a specific moment during the event that stood out as particularly fun or memorable?","Did you feel welcomed and included throughout the event?","Any additional comments or feedback?","How likely are you to participate in another clan event in the future?","Would you like a staff member to reach out to you about your concerns?","Optional:  If you answered yes to the previous question, please share your RSN here or DM a Leader on Discord."
"2025/08/23 11:30:30 AM MDT","5","3","Team Size was fine I think I enjoy 1-4 at most","It was fun, took a little getting used to at first but easy besides that","Really appreciate all the effort put into the bot and lore and event in general. ","Just having the opportunity to try out new content!","5","","5","No",""
"2025/08/23 11:31:10 AM MDT","5","4","6-8","Felt much better than when having to wait on refs to have next quests (like in mario party)","Bot is huge positive, restrictions and theme were really cool, not having leaderboard felt a bit bad, you never knew if you were doing good or not","Start of the event, doing bosses with T40 gear and seeing other teams everywhere","5","","5","No",""
"2025/08/23 11:32:14 AM MDT","4","5","4","quite cool. ","was a good experience for me","aggy and his spoon","5","great job everyone","5","No",""
"2025/08/23 11:34:42 AM MDT","4","4","4 is good","I do like regular bingo boards over the quests so i dont feel stuck doing 1 thing if im unlucky","The event was fun while I was active!","Lemon offering to help with my wildy bosses lol","5","Ugh.... it did suck that 1 teammate of ours was gone the whole even and a second 1 was only active roughly 5 hours out of the whole thing :( really made me demotivated to even finish the event or even try ngl. I left a bad taste in my mouth.","5","No","Pexi"
"2025/08/23 11:36:28 AM MDT","5","2","5-6","Very fun and allowed us to go at our own pace","n/a","LOOT!","5","n/a","5","No",""
"2025/08/23 11:45:22 AM MDT","4","3","Sizes fine half my team just stopped after the first few tasks ","I enjoyed it a lot","Half my team not participating sucked but that's not any of the organizers faults.","Duo Zammy with Soul. And just us two dad's with jobs trying to make the best of it.","4","","5","No",""
"2025/08/23 11:49:10 AM MDT","5","4","5","Very well created bots, smooth, and easily understandable/operable","Insanely well curated event creators and refs were all on point. Very creative and on the ball.","All the conversations, new friends Ive not interacted with before, and new content I learned","5","Had a Blast! Good job gems ","5","No",""
"2025/08/23 11:53:38 AM MDT","2","1","8 players per team, with every team having at least one non-iron player with a megarare","The discord bot was fine","The early tiles and dry protection for those tiles was good design. The flare system needed work. Locking it behind frequency per quest was fine to prevent teams from abusing it, but it needed to unlock after X amount of real hours so that teams didn't get stuck on a tile for 77 hours. Being stuck on the first ToA tile for over 3 real-life days was an actually miserable experience that completely soured my attitude about this event, and future small-team events moving forward. Given some of the elitist responses I heard about from other members of my team expressing similar sentiments, I don't have much faith in the event team when it comes to actually balancing these types of events moving forward.

Clearly, these events are aimed to cater to a more elite category of pvmer with access to better gear who can push raids at higher levels and clear them faster.","I'm sure there was, but it was largely over-shadowed by how negative the experience was at the end. By the time the event ended, I was only participating because I didn't want to receive an event strike, not because I was having fun.","2","The lore and story were fun, and the quest descriptions were humorous. The bot and palico were a cool addition. The balancing on team composition was poor, and the inconsistency between some tiles being ""dry protected"" while others weren't was awful design when combined with a flawed flare system that allowed teams that were ahead to continue using them while teams that were actually stuck and could have used a flare had no recourse because they needed to flare ""recently"".

I know my criticism comes across as ""salty,"" and I'm sure some of it is salt-induced. It's not about ""losing,"" it's about the way we lost. This event was pitched as having a way to avoid getting stuck on tiles, and then the system that allegedly fixed that issue did nothing to stop my team from being stuck on the same frustrating tile for over 3 days. We ended the event no closer to finishing that tile than when we first started the quest. That is objectively bad design when you consider how many hours our team spent trying to make progress.

Find a better balance between luck vs effort/time participating. This event gets 2/5 stars for me, I would not want to do it again without changes to the event mechanics and several quest tiles.","2","No",""
"2025/08/23 12:02:51 PM MDT","5","5","N/A","It was fine","Everything was great","Flares going up and having anyone help. I loved that","5","It was truly amazing and fun!! ","5","No","N/A"
"2025/08/23 12:21:47 PM MDT","5","4","4 is scary small.  a great player or a no-show are huge balance breakers.  It worked from my perspective, but bigger is safer.","Discord bot was amazing.  10/10, keep using it.  I wish there was a way to share progress cross-team, but that's about it.","Extremely well run event.  The only thing I'd say is I'd like a better safety valve.  I was functionally sidelined for days because our team had planned out the flare and I couldn'y help with the current quest.  I'd say doing a lot (5 EHB maybe) of a low level boss should give you an extra flare/unstick/call for help.  If I could've been kiling mole to get my team help on the CA task that would have been better than doing forestry while completely helpless.  Wildy tile was well designed, but too big.","The huey spoon as a team was a big momentum shift for us.","5","Thanks for the hard work, it showed in the final product","5","No",""
"2025/08/23 12:22:20 PM MDT","4","4","","enjoyed it! thought it worked fine and liked the lore bit/cooking gifs/death gifs. ","I totally understand the idea of getting progressively harder however we had a teammate go very hard in the beginning so it felt like I was kind of thrown into the deep end straight from the jump. Probably a me issue and less of an event issue but just wanted to mention it. ","I did a LOT (but I also started out with basically 0 bossing/pvm). Getting the CG unique from the regular gauntlet well before rate felt good. I was able to contribute later in the event despite not being as experienced. ","4","This was my first event like this. It was a little stressful having the EHB ""requirement"" especially as I was one of the least experienced in terms of starting EHB. AFAIK it only tracks successful kills and I spent a good amount dying/learning (I could be wrong but I think thats how it works). Not sure I would want to do another even that would be tracked like that in the future at least until I have way more reps under my belt. Again - probably a me issue but something I felt. ","5","No",""
"2025/08/23 1:48:48 PM MDT","4","4","5-6","it was amazing","I dont mind the harder content at all but since my account can't do late to late mid game bosses at the moment (wich is on me) it wouldve been nice to have had some low req tasks in the last few days too, i understand ofcourse the bosses got harder to the end but i couldnt help the last few tasks so basicly the last 1 day and a half.

Also the lore and theme to this event was fucking amazing you guys went all out and im in awe of what you guys accomplish on a volunteer basis. It shows you guys give it your best every time and you are amazing for it.","spending 18hrs at tormented demons with no drops to show for it, ill never forget that","4","SKIN NATA ALIVE AND BURN HER SLOWLY AFTERWARDS","5","No",""
