"Submission ID","Respondent ID","Submitted at","How long have you been in the clan?","How active in clan chat would you say you are lately?","How active in Discord would you say you are lately?","How do you mostly engage with the clan?","What is your total level?","How long have you been playing OSRS?","What is the highest tier of combat achievements you've completed?","What OSRS boss do you think would make the coolest pet IRL?","Do you hold any role in the clan beyond regular member? (Staff, mentor, event team, etc.)","What's one word or phrase you'd use to describe the clan right now?","What's something about the clan that keeps you logging in / staying active?","What do you think about the clan's current social atmosphere?","How would you describe the clan's personality to someone who had never heard of it?","How has your experience in the clan changed over time, if at all?","Is there a moment or memory from the clan that has genuinely stuck with you, good or bad?","Do you feel like you've found your people within the clan, or are you still looking for your spot?","How does this clan compare to other clans or communities you've been a part of in the past?","Is there a part of clan life you used to enjoy that you feel has faded a bit lately?","What does a really good day or week in the clan look and feel like to you?","Is there anything about the clan's vibe that you think outsiders or newer members might misread or misunderstand at first?","Do you feel like leadership is approachable if you had a concern or idea? What shapes that feeling?","Is there anything you wish leaders or staff did more of, less of, or differently?","Do you feel like your voice matters in how the clan is run? Why or why not?","Do you feel like all leaders are equally visible and present in the clan?","Do you feel like leadership as a whole represents the kind of clan you want to be in?","How did you first really notice leadership in a positive way?","Do you feel like there's a particular area of the clan that feels less looked after than others?","Do you have any other thoughts about the leadership and/or staff?","What kinds of events do you enjoy the most, and what makes them work for you?","Is there a type of event or activity you'd love to see that we don't currently do?","Is there anything about how events are run that could be improved?","Do you ever feel like events aren't for you, or they don't fit your playstyle? If so, what's missing?","Is there an event you've attended that felt like a highlight? What made it stand out?","Is there an event type you keep skipping or feeling lukewarm about, and what's behind that?","Do you feel like events are designed with your playstyle or experience level in mind?","How do you usually find out about upcoming events, and does that work well for you?","Do you feel comfortable showing up to events as a newer or less experienced player, or is there any anxiety around that? If you're more experienced, how do you think we can support our newer gamers?","Is there anything that tends to get in the way of you attending events: timing, format, content, something else?","Do you feel like there's enough variety in events or does the rotation start to feel familiar after a while?","Have you ever had an idea for an event you'd want to see but never mentioned it? If so, what was it?","How do you feel after a clan event wraps up? Energized, happy, drained, indifferent?","Do events feel like a space where you can just have fun, or does any part of them feel like an obligation?","Is there anything about how events are organized or communicated beforehand that could be smoother?","When you think about trying a new boss or raid, what's the biggest thing holding you back if anything?","Bearing in mind we're a social clan still, have you ever felt like the PVM scene in the clan was moving too fast or too slow for where you're at?","Do you feel like there are people in the clan you could comfortably ask a ""dumb question"" to about bossing content without feeling silly?","Do you feel like the clan's PVM community is welcoming to people still learning, or does it ever feel intimidating?","If you could learn any piece of content with clan support tomorrow, what would it be?","Do you feel like your PVM progress or growth gets noticed or encouraged within the clan?","When do you feel most like ""part of the clan"" versus just a member on a roster?","Do you feel like you have people in the clan you can just hang out and game with casually?","Is there a part of the clan community you feel less connected to than you'd like?","What's something a fellow clan member did that made you feel welcomed or appreciated?","Is there a type of player or personality you feel really at home around in the clan?","Do you feel like the clan has your back if something went wrong in a run or you made a mistake?","Is there someone in the clan who has made a noticeable difference to your experience? What did they do?","How do you currently feel about your rank in the clan? Does it feel meaningful to you, or is it mostly just a label?","What would make earning a rank feel genuinely rewarding rather than just a checkbox?","If ranks reflected how active you are in clan, what kinds of activity do you think should count? (events, chatting, helping others, something else?)","Do you think account progression (like total level, quest milestones, or boss unlocks) should play any role in how ranks work? Why or why not?","Is there any part of how ranks currently work that feels unclear, unfair, or just kind of forgettable?","If there is something you've been waiting for the right moment to bring up, this is that moment. What's on your mind?","What would make you recommend this clan to a friend without hesitation?","What does your ideal version of this clan look like a year from now?","OPTIONAL: Only if you want to be reached out to by staff about your responses, enter your RSN:"
"J11BqXd","PdXeeRb","2026-04-04 17:31:35","6 months-1 year","Somewhat active (few times a week)","Somewhat active (few times a week)","A mix of everything","1688","Less than a year","Easy","Skotizo","No","Friendly, Helpful, High energy ","Events, Helpfulness, friendliness, mentors & staff. ","I think it’s great! There’s nothing negative that I’ve ever came across to make me think otherwise. It’s well organized, the events are great, & the clan members are 1 of 1! They’re all fantastic. ","High energy, bubbly, funny. ","It’s hasn’t changed! If anything I feel more comfortable after being in here for a while. It’s easy to communicate and get different opinions on skilling, pvm, etc. ","N/A ","100% ! Grateful for them all 💗","My first clan ive been apart of :) ","N/A","When we’re able to come together in events and work as a team.","No. ","100%! They’re all open to ideas, suggestions, or concerns that any clan member would have. Someone is always available to help any needs. ","No. ","Yes! They make you feel heard, welcomed, and appreciated! Like a little gem family <3","Yes, they all feel present","Definitely","In clan chat","Nothing stands out","No <3","Skilling and a little PvM I’m still a noob so it’s what I feel comfortable doing. ","N/A","Not in my opinion! ","Sometimes. Just with the skills, pvm etc that I’m not quite comfortable with doing, but willing to learn in the future! ","Bingo board a few months ago!! I had so much fun in that, and it’s where I was really able to communicate and learn a little more about them and also the game in general. :) ","N/A","Yes! ","Discord! ","Yes! Although I sometimes go in nervous, team members always assure me no question is a dumb question and help me where I need help. ","N /A","Yes!","N/A","Happy!! ","Yes ","N/aw","Dying LOL","No ","Yes ","Yes","More pvm, always! Always looking to learn more about that. ","Yes!","Anytime im active in clan, im acknowledged! ","Yes! ","N/A","There’s several times, can’t just think of one special moment. :) ","LEMON MARIE! They’re the bestest LOVE THEIR VIBES! ","Yes","N/aw","Meaningful! I’m proud of my growth. ","I like the ranking system how it is! ","N/A","Not necessarily. They should get noticed of course, but there are new members playing daily. Just being a part of community and ranking by events is great! Maybe some kind of ranking system can be built in a different way in the future. ","No ","No ","The vibes! ","Hopefully how it is now, love it!",""
"kbbrlMR","KYJZZBX","2026-04-04 17:34:32","2+ years","Very active (daily/near daily)","Somewhat active (few times a week)","A mix of everything","2088 I believe ","5+ years","Master+","Either yama or doom","No","Popping","Its nice to always have someone to talk to ive been in the clan a long old time since before discord started counting I believe and its always been a safe haven for us nerds","I believe no one feels they cant talk like i said in the previous question its a safe haven and everyone is a valued member ","Inclusive, welcoming and fun ","I think its like face to face interaction once people know your vibe its easier to banter with people! ","Getting a shadow from toa in a big group was a really good feeling seeing everyone be genuinely excited ","I believe soo, because the clan is so inclusive I think everyone is my people","This is the only clan ive ever been in so I cant really compare but my friend who is in another clan thinks that our events sound much more fun than others ","Not really","Just having a laugh with everyone, someone always finds a way to lift your mood if your down, even if you dont mention your feeling down","I dont belive soo","Yes I think all the leadership would be willing to offer guidance and would listen to an idea from anyone! ","No i can't say there is","I think if we had issues with something our points would be taken on board","Yes, they all feel present","Definitely","In clan chat","Nothing stands out","Nope","Bingo's and the teamwork talking to people you may not talk to as much as usual think its a good way for everyone to feel more part of the bigger picture","Not that I can think of i think most bases are covered","Nope","Nope","Rush was made amazingly the team work and vibe was outstanding start to finish ","Nope","Yes there is always something for everyone","Discord and hype in chat","Yes! And I think we have some very skilled players who are willing to help and guide new players ","Nope just work! ","Yes","Nope","Hyped","Yes I think there is no pressure","Nope","Being a noob","Nope","I think anyone is willing to teach people and guide them! ","Yes! Never intimidating ","Tob","Yes massively ","Finishing things within the teams in events ","Everyday! ","Nope","After a year long brake from the game I came online and a member noticed and seemed genuinely happy to see me online this mate me feel very appreciated! ","I feel even though we are all very individual we all share the common interest of the love of the game and this has make you feel at home anywhere within the clan","Yes!","Yes, ive been taught cm chambers and I think this has pushed me to harder content","It does it feel like getting a higher rank makes me feel like I have achieved something","Being offered a rank up","All if the above ","No because not everyone has time to achieve these milestones often","Nope","The effort put in by everyone to make the events possible and keep the clan running is outstanding I am very proud to be a member of this clan! ","The people within the clan","The same as now I dont think anything needs to change we are a good bunch and playing along with these people makes me very happy","Connnah"
"BEE9K57","Y5Mvv2v","2026-04-04 17:38:57","2+ years","Occasionally active (few times a month)","Occasionally active (few times a month)","A mix of everything","2128","5+ years","Easy","Definitely the wise old man…","No","Gemtastic","I love the community. I go through phases of playing once a week to every day depending on the month and my mental health. But I know even if it has been a month, when I log on I’ll be welcomed by anyone and everyone.","Love the community and I love the jokes and fun.","Full of life and love. This group of people are here to have fun, but also to have a sense of belonging.","I’ve been with Lexi since before EG and honestly, the experience has changed so much. But in an amazing way. It has grown to include so many diverse groups of people and so many diverse events. I remember when the biggest events were clue casket give aways where ten people showed up. Now we have masses with like 70 people. It’s insane!","I feel like every moment. But I think the most memorable would be the memorial mass raid we did. That was extra special.","Definitely found. And always looking too! Always a new spot to find and a group to belong to!","I’ve been in past iterations of this clan before it became the Gems. And honestly this is the best clan I’ve ever been in.","Nope. Well, I miss Kevin (orky). But he is so busy living his life. I know that’s just one person but he was a major part of the clan to me.","Everyone chatting and doing different activities. People saying “I’m bored” and having ten different people say “wanna come do BLANK with me??”","Some of our jokes. But I don’t think it is ever really a detracting factor. I think people catch on pretty quick.","100000% I think leadership is super open to listening to anything we have to say.","I mean, yall really need to stop rigging these give aways….jk I think yall are doing great and I can’t think of anything I’d change","Yes. I feel like leadership makes us all feel heard seen and valid.","Yes, they all feel present","Definitely","DM or personal interaction","Nothing stands out","Love em all. Give em raises. Send Jagex the bill.","PVM masses. Not raids. Raids I just have a really hard time with, but I enjoy doing boss masses!","Not that I can think of.","Not that I can think of.","I think we have events for everyone, from beginners to max players. There is an event for EVERYONE","I just really like temporos. It’s just fun.","Raids in general, but I’m in the minority there. People LOVE raids and it makes me happy that this is a clan that people can raid with but it isn’t 100% a raid clan! ","Yuppers","Discord yo! It works great","Yes. There is ALWAYS someone who will tell me what to bring, what to wear, who to not look in the eye, etc. I feel like I can join almost any event with zero experience needed and someone will help me.","Just my life and having a toddler makes timing difficult.","No I love the variety","Not at the moment","Drained, but in a good way! Like I’ve had lots of fun and it’s time to recharge","The events I attend are just fun. I don’t really do the team events because my schedule makes it so I don’t think I’d have time to adequately help my team and that is an obligation I couldn’t do. ","I think you all do amazing","I’m just scared of dying haha","Not really","Oh I ask dumb questions all the time!!","1000000000000000000000000000000000000000000000000000000000000000000000%","Anything varlamore. I haven’t even touched it really besides the initial quest I think.","Absolutely! ","When I’m in the game chatting away with peeps.","Of course! Basically everyone","Not really","Honestly, when people just say hey Samalam!! And then ask what I’m doing or offer for me to join them doing something","Skillers lol","10000%","Kevin and Lexi are both friends “irl” and I mean that as in I’ve met them in person, they even attended my wedding. I think knowing that so many of us have people nearby is really cool. Like no matter where you are, there is probably another gem in the state (if in USA) or in your country. We are one huge community from all over the world and I love that!","Definitely meaningful. I’ve been here a long time and I like knowing that.","I think having the event participation is a great way of earning it!","Events, helping others, and even just being active in the cc.","No. Some people are amazing at the game, but not necessarily good at the social clan aspect, and vice versa! I think participation should be the guiding factor.","Nope","I love you all.","The community","Same clan, but bigger. I’d love to see Jagex increase the limit on clan rosters so we could get more people!","Samalorian if you have questions :) but I don’t need a response"
"7XXPKz0","5BGDoGM","2026-04-04 17:51:51","2+ years","Very active (daily/near daily)","Very active (daily/near daily)","A mix of everything","2030 main 771 iron ","5+ years","Hard","Vorki","No","Fun","Friends","Positive","Charismatic ","I've always loved the clan through my uptime and downtimes.","The event i held was a great experience for me and other players.","Everyone is my people. All Clan members alike.","This clan is very active the first one I was involved everyone just stopped playing so it was a ghost clan. [Noone on at all]","Nope","Having days off work to bring and spend time with clan mates","Hm nothing comes to mind. I think we're good. ","Yes.","I wish lexi would throw more pizza parties <_<.","I feel like everyone's opinions matter. ","Yes, they all feel present","Definitely","DM or personal interaction","Nothing stands out","Nope love yall mofos","I enjoy all the events. :]","Id like to see something happen on dragonwilds tbf :]","N9t really. There's already perfect systems in place. If it's not broke don't fix it.","No","No. All all the events have their own highlights that make them unique and fun.","Nope","Yes","Eg calendar helps","No i have a maintenance and a noob. Both participate and both are as equally fun. ","Work","There's enough","Dragonwilds ","A little drained and lost but that's a runescape vibe from getting to a certain point","Yes","No","Nothing","No its perfectly fine","Yes","Yes","Tob","Yes","Everyday","Yes","No","I got mmotm :]","No","Yes ","No","Its cool","Pizza party","Support with problems","No","Nope","Pizza parties and dragonwilds themed events","We have very short surveys. Lol","Packed","Aetrix"
"Gee7RNo","MeJq25A","2026-04-04 18:00:50","1-2 years","Somewhat active (few times a week)","Somewhat active (few times a week)","A mix of everything","2230","5+ years","Elite","Nid","Yes","Chill","Friendships","Its ok","Spicy but welcoming ","Hasnt changed. Still love eg","Yes. Last year.","Yes but going through some stuff that makes it feel im drifting apart.","Alot more welcoming/ inclusive","Nope","No drama/ ppl read rules","The comfort speak how we want.","Yes","Nope","Sometimes.  Feel brushed aside sometimes","Yes, they all feel present","Mostly","In clan chat","Nothing stands out","Love them all","Team events. Team balancing/ having ppl to do content with","Nah","No team is doing a great job right now.","Nope","Hexchange had alot of fun grinding with the team and learning new content","Nope","Y e s","Staff","I feel comfortable but always will be that anxiety about not knowing certain content.","Irl schedule sometimes keeps me busy","Events always have something new which is nice","Nope ive brought up what i want just havent figured it all out yet","Drained usually","Feels like a 2nd job sometimes ","Nope","Time to prog/ death fees","No just right","Yes","Welcoming ","Inferno/ tob","Not really ","When ppl treat me as a human","Sometimes yeah","Yes","Recognized what i bring to table.","Gigi's personality makes me feel comfortable ","Yes","Yes, they taught me alot of pvm and didnt make me feel bad for asking questions or just not doing well.","Feels good, Meaningful","Buyin discounts maybe or some sort of reward without it being just about gold","Everything you have listed.","Yes perhaps have some pvm style ranks for those interested and a set of ranks for more casual players?","Nothing to gain past sapphire","Nope","Yup. I have a few already","More of tight knit staff team. Lots of events that feel good for beginners/ end game players",""
"5XXO1pZ","rjd1902","2026-04-04 18:11:30","2+ years","Very active (daily/near daily)","Occasionally active (few times a month)","A mix of everything","2376","5+ years","Elite","Gryphon","No","Friendly and helpful","Amazing group of people who cheer on your achievements no matter how big or small. Able to make a joke and poke fun at people without anyone being too serious or having any drama.","Fantastic, everybody is super helpful and friendly.","Positive and full of memes","Many people have come and gone since I joined but the vibe has never changed!","Many small ones, Nuc taking my main on its first ever cox and seeing an elder maul drop (pre buff). All the events, especially getting a 2kc Sara hilt on my iron, but also getting the speak with people in the clan I never have before is excellent.","When it comes to time zones you tend to speak to similar people most of the time, but I think it’s easy to have a conversation with anybody in the clan.","Much more grown up and nobody trying to be edgy or start drama
","Since I main an iron nowadays it’s harder to join in on some group activities but that’s not a clan issue.","Everybody getting gains in game and irl and ofc being celebrated by everybody ","Other than inside/long running jokes that they wouldn’t get, not really.","100%, I don’t have to contact staff very often because I rarely have any issues, but when I have needed to for whatever reason everyone has always been friendly and quick to respond ","Nope","To an extent, I don’t make decisions or anything but I feel like if I had an opinion on something that it’d be taken into consideration. Although I trust the decision makers’ intentions at the very least","Some feel more present than others","Definitely","When I had a problem or question","Nothing stands out","You all stink","Team events like bingo and the like as you often get to know new people or get to know people better. Everyone pulling in the same direction towards a common goal is special","Not particularly","They should be rigged in my favour","It depends on the content and whether I want to or can do it. I wouldn’t particularly say there’s anything missing","Gielenor rush was brilliant. The website and fact that it was a new idea made it interesting to begin with. Also changes to the site being made on the fly was great, and being able to work on different things at once is so important, previous events teams can get hard stuck on things like an inferno tile and then the one person on the team able to do it is asleep or at work etc","Skill of the week usually because I’m maxed now ","I wouldn’t be able to participate in every event even if I wanted to so this doesn’t matter hugely to me. I feel as though there is a nice balance ","Discord and yes","I do suffer from anxiety and it can cause tremors which can make things difficult if I’m joining content I haven’t done much or at all alongside much more experienced players, especially if they all know each other. However this isn’t really specific to events and I don’t expect anybody to have to cater to that","Real life can get in the way, or time zones for the pop up masses ","It can feel familiar but I don’t think that’s a bad thing necessarily ","Nope","Socially drained, a bit burnt on the game with the lack of direction that events provide. But mainly happy that I’d had a good time and usually made some new friends! ","They are fun but at times they can force you into content you don’t enjoy but there’s no way around that that pleases everybody","Nope","Anxiety of letting people down (I know it’s irrational) and looking stupid planking when I should be better as a higher lvl player","No there’s pretty much always people doing all sorts of content","Absolutely, I do it all the time","It can definitely feel intimidating when there’s a group of people who are close friends in the clan who play at a much higher level than I do, but everyone is also welcoming so it’s more of an internalised thing","Doom","Definitely, especially when you’ve asked questions and asked for help or tips. When you then achieve something or get the drop you’re hunting, everyone is super happy for you","When there’s inside jokes","Yes","I don’t really post on discord much so I’m not really connected to people’s irl stuff","I got clan member of the month once which was a nice recognition. People specifically being excited to say hello or to let you know they got a drop etc","Not sure I understand ","Not sure I understand ","Sir stumon has always stood out to me in being incredibly helpful and knowledgeable ","I’m a zenyte and it does feel like it’s a badge of honour and the fact I’ve been in the clan so long has been recognised ","Not sure","I think this would be hard to monitor outside of event attendance ","Probably not, I think time in the clan is more important","No","No","I already have and do, my only concern with one was that they wouldn’t be a good fit for the clan, but that’s more about them than anything","I think pretty much how it is now but maybe with more random “masses” or clan activities. I think sometimes it’s hard for people to find a group to do particular content but that’s because people have their own stuff they want to work on and I’m guilty of that myself ",""
"dbbRxXA","PdXeQP5","2026-04-04 18:12:52","3-6 months","Somewhat active (few times a week)","Occasionally active (few times a month)","A mix of everything","2161","5+ years","Elite","Huey","No","Chill","Wouldn't say anything in the clan keeps me active, I like playing the game. Clan is just the cherry on top","Overall good, people are friendly and helpful.","Chill","N/A","Not really","I have friends I joined with who I mainly hang with, but I like interacting with others all the time too.","I've previously only been in end game PVM clans, so the vibe is completely different here - but for where I am in the game atm it's a great change. ","N/A","Gzing drops and level ups with the clan mates, having fun chill banter. ","Not that I can think of","Yes","Nope","I dont think I use my voice for how the clan is run so I can't really say. I think if I brought something up it would be taken seriously though. ","Yes, they all feel present","Mostly","When I had a problem or question","Nothing stands out","Nope","PVM events are fun, last one I didnt get to participate in because it lined up with the new PoE league start unfortunately. I do really like the new Bounty event and I'm in this skilling bingo so happy to participate in whatever happens :) ","Nope","Idk","Not really","Nope","I dont really love mass events, but thats because I'm a selfish ironman who wants loot :D","I am capable of end game PVM content, but I dont mind doing lower tier stuff. Good balance so far","Discord, works well.","I feel comfortable","Timing is the biggest thing since I play games other than OSRS and ofc real life obligations.","Yes","Nope","Depends on the type of event, but most of the time Happy. ","Depends on the kind of event, Skilling Bingo I look at as for fun, make account progress POG. Small team PvM bingo I would take more serious and ensure I can put real time in to not let my team down.","Nope","N/A","If I was heavily PVMing the clan is definitely what I would consider too slow - but I don't mind. I may reconsider clans when Raids 4 comes out, but also may just continue PVMing with friends and stay in EG. Not entirely sure yet - but it's not a fault in the clan.","I (respectfully) think I'm above the PvM skill level of a large portion of the CC so I dont think there's too much dumb questions I'd ask. I'd be happy to try and help the lesser experienced players with their questions though :)","I see learner stuff a lot and people getting first KC CB achievements and what not, so I think its a good environment for it.","Dont think there is any content I havent learned","Yes absolutely","During events","Yes","Nope","Healsha helped me with the bingo buyin since I couldnt use clan coffer on my main account (it's a guest) - and was really helpful with the process. ","Anyone that can banter a bit, without being toxic ofc","Yes","Healsha again for the clan buyin, other than that I havent engaged too much. Working on getting back into the game more so hopefully that changes :)","Just a label, nice having cheaper event buyins tho :D","Dont really know","All of the listed options, although activity being the criteria for rankups seems weird. I like longevity in the clan more","I think thats a good idea generally, the more progress you make on your account the more content you can do with the clan and the more you can help fellow CC members. ","Nope","I feel like the Discord is really cluttered with channels, there are SO MANY that I often just dont want to look around because it's overwhelming. I know I can hide channels and stuff but idk ","The vibe","Same as it is tbh","ydn4R - don't need to be reached out to but if you have questions about anything feel free to ping."
"NqqO650","QKJW9Nl","2026-04-04 18:14:47","6 months-1 year","Somewhat active (few times a week)","Somewhat active (few times a week)","PVM","2100+","3-5 years","Elite","bloodhound","No","chill","friends in clan","its pretty good ","chill accepting clan.","n/a","toa mass","yes","its way less elitist","i feel like team search ahs kinda fallen off in disc","everyday ","sarcasm/some of the jokes in vc that come with being apart of the clan for a while","absolutely","not really
","yes, im doing a survey so you can hear my opinion ","Some feel more present than others","Mostly","In clan chat","Nothing stands out","no","masses, the chaos is very fun.","no","n/a","yes, im very busy so its hard to join longer pre planned events, masses or one day events work alot better for me.","toa mass, watching the pure chaos unfold at akkah was hilarious","longer events as i know i cant contribute as much as others through the week","yes","disc yes","yes","timing timing timing","yes variety is good.","not really .","indifferent","there feels like there is some obligation for sure","not really","deaths coffer","it comes in waves for sure.","yes","yes","inferno ","yes","community raids/masses","yes","no","thanked me for information","yes","yes","helped me learn new content","shows how long ive been here and how many events ive been in.","n/a","all ","no, its what my last clan did and it felt weird when a new clan member would instantly out rank everyone.","no ","more preplanned masses","im in it.","same but ive maxxed ",""
"rDDq6x5","5BGDaeN","2026-04-04 18:21:27","1-2 years","Somewhat active (few times a week)","Pretty inactive right now","Just chatting","2281","5+ years","Elite","Im partial to racoons so still rocky despite it being a normal one!","No","Welcoming"," I don't really have an answer to this. I geniunely like that I don't have to login/be active to be part of the clan. the clan completely fits what runescape is about. you take a break be it a week a month or a year and come back and you don't feel like you've fallen behind. The same applies to this clan I see people who come back from break that i've never seen before and its so refreshing to see people still care.","I think its a perfect combination of laid back and social.","Id describe it as a clan welcoming to anyone.","I've slowly become more active in the clan chat, feels more like home every day.","When I was grinding the quiver the support from people and specifically other people who had the quiver was heartwarming.","Somewhat still looking for my spot, Cant really put a finger on why or why not.","Its way more laid back, I come from a background of playing other mmo's that had a more competitive seen. I really appreciate that I can play at my own pace/login when I want too and am not forced to be on at certain times.","Not that I can think of","Honestly I really enjoy the vibe whenever an event is going on, even if i'm not part of the event the clan feels so alive. people are chatting, people are doing all kinds of content and getting all kinds of drops.

(Not really sure if that even answers the question)","Nothing off the top of my head. Thinking back to when I joined nothing stood out to me.","I do. I haven't had to reach out for a concern or an idea but it *feels* like leadership is super welcoming and understand just based on how they act in discord/chat.","Not that I can think of. Leaders & staff have been great.","Yes because of survey's like this. Making an effort to hear people voices is perfect.","Some feel more present than others","Definitely","In clan chat","Nothing stands out","So far everything I've seen is great. Between the people keeping the atmosphere great and between the insanely talented event team & the leaders handing any ""controversy"" everything has been great.","Skill of the week. entirely because its not group dependent/participation dependent. Lifes hectic right now and I don't want to join an event and simply not have time,","None that I can think of","deadlines for signs up being in the announcements. I believe they are some of the time but not all of the time. For example the skilling bingo has the start/end date but I don't see a sign up end date. (One could assume its the day before but being clear about that is good also.)","I've somewhat answered this a few times, and this isn't the fault of the clan. but group/participation ones are harder for me because I don't want to join and then have life get in the way and not be able to play. I know that everyone is really really understanding and I'm sure they'd 100% understand if something came up but I don't want to put that on them or the event leads. They balance it around expecting people to show up and thats how it should be.

(Ps I answered these out of order hence the first sentence)","Secret santa was great, being able to just help someone get something they've wanted or wanted to do (skills) was so nice.","Most clan/participation ones but this has nothing to do with the clan and entirely just the way life is for me rn.","I absolutely love that the events are seemingly designed for everyone playstyle. The vard one is such a great way to get people into pvm.","Discord, works quite well for me!","I do feel comfortable showing up to events. There's definitely some anxiety when interacting with a bunch/team event because you don't want to let you team down. Overall tho I think everyone is understanding.","Just life and the occasional osrs event.","I actually like the familiarity of events. I don't think everything has to be new and improved! :)","No, Not yet.","Energized/happy. It almost feels like the end of a good project.","I think the group/participation ones feel like a slight obligation, But I think they have too. You need people who sign up to show up. Every event I've been apart of has been fun.","Related to an earlier point a clearer deadline for sign ups","I don't know most of the people well in the clan. I don't personally like letting people down when I'm the one learning so between that and scheduling I've put off tob. Its entirely a me issue tho. I don't mind when people die or w/e when they're learning something with me so I know *most* people are similar.","I think the pvm scene is pretty well rounded you have everything from people are newer to pvm to people who are gm's & a ton inbetween.","Yeah 100% could ask a ""dumb"" question I feel like most of the people don't think of a question as ""dumb""","Definitely think its welcoming. You all do everything in your power to welcome people. the issues I've mentioned about I feel are a personal not a clan one.","Tob.","Definitely I grinded out the quiver recently and had a ton of encouragement.","Weird answer maybe? but it definitely feels like I'm part of the clan when just chatting.","I have a couple friends from the clan that are the reason I joined so yes :)","Not inherently.","x 2cute x 's support on the quiver was great. it may of seemed super small but was really appreciated.","Not that I can think of right now. Quite the though provoking question tho.","Yeah. Everyone's friendly and welcoming. I know that if I made a mistake in tob for example no one would care except myself.","x 2cute x's support on quiver, Disco and Umi alchemy haven't done anything specifically but they are always around and answering question/willing to help people.","Mostly a label and I kind of like that because it means i feel  zero pressure to rank up and can stay green forever.","I don't have a good answer for this because of my biases.","Probably a combination of it all, altho id be wary about weighting one to high because then for example it'd feel like an obligation to join events vs just doing it cause you want to.","I don't mostly because people have so many different accounts its hard to quantify a rank based on those things.","I think its somewhat strange that there isn't a reason to rank up but im equally biased and like that because I can stay green forever :)","Love the clan, Love the events even if I haven't been able to participate in as many as I like.","I would and already have. the clan's laid back, welcoming and helpful atmosphere is perfect.","I think as it is its pretty good. the new monthly event for vard is fantastic and I'd love to see that continue, maybe expand it into other area's like x amount of xp in a skill or clogs or clue items? Its such a neat way to get people to try other parts of the game.","Brandonls1"
"RWWrzlv","2EJy9qM","2026-04-04 18:26:10","1-2 years","Somewhat active (few times a week)","Occasionally active (few times a month)","A mix of everything","2376","5+ years","Elite","Yama","Not officially but I help out informally","Its a vibr","The people","Helpfully bunch of people ","Chill","Stayed pretty much the same","All,the bingo's haha","Yes","More social and more interactive ","Negative","Just a casual day where I can log in and chat with friends","Not sure dont think so","Yes very, always approachable and take time to chat to you","Nope","Feedback is always taken into account","Some feel more present than others","Mostly","In clan chat","New member experience","Nope","Bingo!","Not really ","Allready top notch ","Just thought id join a pvm event while it was basically. A scrabble","Any bingo honestly","Negative e","Yes","From discord @s","Yeah, it's just the first step which. People need to take ","Just time","Yws","No","Mixed","Bit of both","I dont think so allrwsdy put a lot of time into it","-","-","Yeah they can, nothing is dumb ","It does feel open","Inferno","Eh -","In a team bingo","Yes","Yes","-","Yes","Yes I do","Not really","Just a label","Hmmm idk","All of the above","Idk","Boot rank, gnome rank","Nothing honestly, like the vibe and just enjoy it here","Allresdy am recommending tbem","More learning raids ","J A R I"
