,,,Connector,normal task - trick or treat,,,,,,,,,,,,,,,,,,,,Connector,normal task - trick or treat,,,,,,,
,None,normal task - trick or treat,,None,Connector,,,,,,,,,,,,,,,,,,normal task - trick or treat,None,None,Connector,,,,,,Counts
,Connector,,None,None,None,normal task - trick or treat,,,,,,None,,,None,,,,,,None,Connector,None,None,None,None,normal task - trick or treat,,,,normal task - trick or treat,48
normal task - trick or treat,,None,,,,,Connector,None,,,,,None,,None,,,,,None,normal task - trick or treat,,,,,,None,Connector,,,pumpkin - skilling,0
None,None,None,None,None,None,None,None,normal task - trick or treat,Connector,None,,,,None,None,None,,Connector,normal task - trick or treat,Connector,,,,,,None,,,normal task - trick or treat,,grave - wildy,6
None,,,None,None,,,,,,black cat - harder,Connector,,,None,None,None,black cat - harder,None,None,,,,None,None,None,normal task - trick or treat,,,None,Connector,ghostie - kc,0
,None,,,,Connector,,,,,,,normal task - trick or treat,Connector,Connector,normal task - trick or treat,Connector,Connector,normal task - trick or treat,,,,None,,,Connector,,Connector,None,None,normal task - trick or treat,Black cat - harder,2
,None,None,None,normal task - trick or treat,None,normal task - trick or treat,Connector,None,None,,Connector,,,,,,,,Connector,,None,,,normal task - trick or treat,,None,normal task - trick or treat,None,None,,end - bag of sweets,1
,,,Connector,,None,,,normal task - trick or treat,Connector,normal task - trick or treat,,,,,,,,,,normal task - trick or treat,,,Connector,,None,,,Connector,,,Connector,62
,,normal task - trick or treat,,None,,,,,Connector,,,,,,,,,,,,Connector,normal task - trick or treat,,,None,,,None,normal task - trick or treat,,None,
,Connector,,,Connector,,,,Connector,,,,,,,,,,,,,,Connector,,None,,,,None,Connector,,Start Here,
normal task - trick or treat,,None,normal task - trick or treat,None,grave - wildy,None,None,normal task - trick or treat,,,,,,,,,,,,,,normal task - trick or treat,None,None,None,None,None,None,None,normal task - trick or treat,need at minimum 30 houses,
,None,,Connector,None,None,Connector,,Connector,,,,,,,,,,,,,,Connector,,,,grave - wildy,,,,,22 staff + 8 zenytes,
,,normal task - trick or treat,None,,None,None,grave - wildy,Connector,,,,,,,,,,,,,,Connector,,,Connector,,Connector,,,,~55 tiles in total,
,Connector,None,None,None,None,None,None,normal task - trick or treat,,,,,,,,,,,,,,normal task - trick or treat,Connector,grave - wildy,None,None,None,normal task - trick or treat,,,"In general, tiles will take somewhere between 3-8 EHB if we're keeping things fast paced",
normal task - trick or treat,None,,,None,None,,,Connector,,,,,,,,,,,,,,Connector,,,,,,,Connector,,,
None,None,,,Connector,,,,Connector,,,,,,,,,,,,,,Connector,,,,Connector,,,None,normal task - trick or treat,,
None,None,Connector,normal task - trick or treat,,normal task - trick or treat,Connector,,,Connector,,,,,,,,,,,,Connector,,,grave - wildy,normal task - trick or treat,,normal task - trick or treat,Connector,,,,
,normal task - trick or treat,None,None,None,None,None,grave - wildy,Connector,normal task - trick or treat,,,,,,,,,,,,normal task - trick or treat,Connector,normal task - trick or treat,None,None,None,None,None,normal task - trick or treat,,,
,Connector,,,None,None,,,,Connector,,,,,,,,,,,,Connector,,,,,,,,Connector,,,
normal task - trick or treat,None,,,,,,,,Start,,,,,,,,,,,,end - bag of sweets,,,,,,,,None,normal task - trick or treat,,
